image_id,points
img_00000.png,[]
img_00001.png,"[(225.0, 275.0)]"
img_00002.png,"[(225.0, 275.0)]"
img_00003.png,"[(125.0, 175.0)]"
img_00004.png,[]
img_00005.png,[]
img_00006.png,[]
img_00007.png,"[(225.0, 275.0)]"
img_00008.png,[]
img_00009.png,"[(125.0, 175.0), (340.0, 140.0)]"
img_00010.png,"[(340.0, 140.0)]"
img_00011.png,"[(340.0, 140.0)]"
img_00012.png,"[(125.0, 175.0)]"
img_00013.png,"[(340.0, 140.0)]"
img_00014.png,"[(340.0, 140.0)]"
img_00015.png,"[(225.0, 275.0), (340.0, 140.0)]"
img_00016.png,"[(125.0, 175.0)]"
img_00017.png,[]
img_00018.png,[]
img_00019.png,"[(125.0, 175.0)]"
img_00020.png,"[(225.0, 275.0), (340.0, 140.0)]"
img_00021.png,"[(225.0, 275.0)]"
img_00022.png,"[(225.0, 275.0)]"
img_00023.png,[]
img_00024.png,"[(125.0, 175.0), (225.0, 275.0)]"
img_00025.png,[]
img_00026.png,[]
img_00027.png,[]
img_00028.png,"[(225.0, 275.0)]"
img_00029.png,"[(225.0, 275.0)]"
img_00030.png,[]
img_00031.png,[]
img_00032.png,[]
img_00033.png,"[(125.0, 175.0), (340.0, 140.0)]"
img_00034.png,[]
img_00035.png,[]
img_00036.png,"[(125.0, 175.0)]"
img_00037.png,[]
img_00038.png,"[(340.0, 140.0)]"
img_00039.png,[]
img_00040.png,"[(125.0, 175.0)]"
img_00041.png,"[(125.0, 175.0), (225.0, 275.0), (340.0, 140.0)]"
img_00042.png,[]
img_00043.png,[]
img_00044.png,[]
img_00045.png,"[(125.0, 175.0)]"
img_00046.png,"[(225.0, 275.0)]"
img_00047.png,"[(340.0, 140.0)]"
img_00048.png,[]
img_00049.png,[]
img_00050.png,[]
img_00051.png,[]
img_00052.png,[]
img_00053.png,"[(125.0, 175.0), (340.0, 140.0)]"
img_00054.png,"[(225.0, 275.0)]"
img_00055.png,"[(125.0, 175.0), (225.0, 275.0)]"
img_00056.png,[]
img_00057.png,"[(125.0, 175.0)]"
img_00058.png,"[(125.0, 175.0)]"
