epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.603,1.74238,3.27002,1.57361,0.01906,0.83818,0.24419,0.13556,0.97959,3.20408,1.02808,0.000275,0.000275,0.000275
2,231.018,0.98673,1.76724,1.1284,0.64157,0.57106,0.65542,0.50466,0.83145,2.04454,0.96932,0.000551362,0.000551362,0.000551362
3,334.845,0.85435,1.12123,1.05773,0.7264,0.84334,0.91805,0.68628,0.90618,1.48579,0.99394,0.00081634,0.00081634,0.00081634
4,433.915,0.79612,0.93549,1.02259,0.99516,0.99481,0.995,0.79587,0.74521,0.88455,0.95831,0.00106993,0.00106993,0.00106993
5,534.971,0.73232,0.86946,0.99966,0.99413,0.99333,0.995,0.86459,0.55716,0.75716,0.85189,0.001151,0.001151,0.001151
6,635.477,0.60536,0.73763,0.93983,0.99603,0.99524,0.995,0.89637,0.45092,0.59377,0.8173,0.00112625,0.00112625,0.00112625
7,736.33,0.56726,0.69534,0.9257,0.99567,0.99948,0.995,0.91017,0.41502,0.57078,0.81105,0.0011015,0.0011015,0.0011015
8,834.381,0.52721,0.63659,0.91157,0.99675,1,0.995,0.90796,0.42993,0.50897,0.82178,0.00107675,0.00107675,0.00107675
9,934.629,0.53058,0.61417,0.90986,0.99889,1,0.995,0.93651,0.35183,0.48024,0.78811,0.001052,0.001052,0.001052
10,1033.41,0.48179,0.58147,0.89353,0.99797,0.99963,0.995,0.94263,0.3276,0.45268,0.79011,0.00102725,0.00102725,0.00102725
11,1134.33,0.48709,0.56817,0.89273,0.99791,0.99978,0.995,0.95104,0.33959,0.43388,0.78637,0.0010025,0.0010025,0.0010025
12,1233.76,0.522,0.57524,0.90464,0.9989,1,0.995,0.93611,0.36086,0.41588,0.79512,0.00097775,0.00097775,0.00097775
13,1335.16,0.45918,0.53719,0.88917,0.99857,0.99996,0.995,0.9239,0.4136,0.42313,0.81017,0.000953,0.000953,0.000953
14,1434.44,0.44053,0.50723,0.87287,0.99913,1,0.995,0.96543,0.28502,0.36649,0.77387,0.00092825,0.00092825,0.00092825
15,1521.29,0.41805,0.48772,0.87217,0.99918,1,0.995,0.95394,0.30197,0.36111,0.78096,0.0009035,0.0009035,0.0009035
16,1616.25,0.43403,0.4969,0.88248,0.99918,1,0.995,0.93843,0.34605,0.38923,0.79065,0.00087875,0.00087875,0.00087875
17,1710.4,0.46744,0.5054,0.88762,0.99904,1,0.995,0.94749,0.32683,0.36438,0.78863,0.000854,0.000854,0.000854
18,1805.02,0.41383,0.47751,0.87261,0.99932,1,0.995,0.96963,0.26051,0.34146,0.7733,0.00082925,0.00082925,0.00082925
19,1901.07,0.38907,0.45993,0.86688,0.99929,1,0.995,0.97129,0.26143,0.33502,0.77035,0.0008045,0.0008045,0.0008045
20,1996.2,0.3814,0.4463,0.85977,0.9993,1,0.995,0.98185,0.22,0.30255,0.76423,0.00077975,0.00077975,0.00077975
21,2092.38,0.37593,0.44535,0.86599,0.99935,1,0.995,0.97938,0.23622,0.30561,0.76578,0.000755,0.000755,0.000755
22,2188.07,0.35158,0.42363,0.85758,0.99948,1,0.995,0.98225,0.22151,0.29316,0.76391,0.00073025,0.00073025,0.00073025
23,2282.71,0.35717,0.41299,0.85402,0.99945,1,0.995,0.98231,0.22644,0.29207,0.76488,0.0007055,0.0007055,0.0007055
24,2380.15,0.3614,0.41496,0.85805,0.99952,1,0.995,0.97748,0.23557,0.28891,0.76504,0.00068075,0.00068075,0.00068075
25,2473.82,0.35722,0.40927,0.85224,0.99914,1,0.995,0.98208,0.21918,0.27986,0.76457,0.000656,0.000656,0.000656
26,2567.2,0.36207,0.40818,0.85492,0.99943,1,0.995,0.98392,0.20404,0.26632,0.75946,0.00063125,0.00063125,0.00063125
27,2660.41,0.3458,0.38989,0.84882,0.99945,1,0.995,0.98725,0.19922,0.25633,0.75973,0.0006065,0.0006065,0.0006065
28,2754.2,0.35312,0.39557,0.85777,0.99926,1,0.995,0.98095,0.22088,0.26404,0.76366,0.00058175,0.00058175,0.00058175
29,2847.76,0.33123,0.38343,0.8537,0.99939,1,0.995,0.99008,0.17509,0.23279,0.75615,0.000557,0.000557,0.000557
30,2941.12,0.32131,0.36602,0.84184,0.99947,1,0.995,0.98929,0.18032,0.24261,0.75796,0.00053225,0.00053225,0.00053225
31,3035.03,0.31391,0.36041,0.83761,0.99955,1,0.995,0.98997,0.18021,0.23603,0.75701,0.0005075,0.0005075,0.0005075
32,3128.85,0.30754,0.35671,0.84113,0.99955,1,0.995,0.98881,0.17389,0.22911,0.75659,0.00048275,0.00048275,0.00048275
33,3222.1,0.30231,0.3565,0.84046,0.99949,1,0.995,0.98924,0.16752,0.22273,0.7553,0.000458,0.000458,0.000458
34,3317.03,0.30231,0.35079,0.83941,0.99952,1,0.995,0.99099,0.16849,0.21737,0.75603,0.00043325,0.00043325,0.00043325
35,3413.95,0.30412,0.35015,0.84303,0.99936,1,0.995,0.99005,0.18186,0.22826,0.75715,0.0004085,0.0004085,0.0004085
36,3508.41,0.30053,0.34296,0.83769,0.99954,1,0.995,0.98912,0.1708,0.21378,0.75576,0.00038375,0.00038375,0.00038375
37,3601.76,0.30381,0.33977,0.83839,0.99945,1,0.995,0.98959,0.16627,0.20992,0.75554,0.000359,0.000359,0.000359
38,3696.24,0.30138,0.34876,0.84204,0.99952,1,0.995,0.98665,0.19755,0.21665,0.75864,0.00033425,0.00033425,0.00033425
39,3783.49,0.29997,0.33715,0.83654,0.99948,1,0.995,0.98872,0.18116,0.21069,0.75683,0.0003095,0.0003095,0.0003095
40,3871.23,0.28359,0.3287,0.83776,0.99944,1,0.995,0.99154,0.15982,0.19728,0.75404,0.00028475,0.00028475,0.00028475
41,3954.61,0.22457,0.28394,0.78911,0.99944,1,0.995,0.99139,0.16069,0.21634,0.7539,0.00026,0.00026,0.00026
42,4038.7,0.22052,0.26368,0.79798,0.99939,1,0.995,0.98647,0.18503,0.22416,0.75721,0.00023525,0.00023525,0.00023525
43,4122.45,0.22,0.26828,0.79106,0.99953,1,0.995,0.98858,0.16767,0.20632,0.75343,0.0002105,0.0002105,0.0002105
44,4206.9,0.20684,0.24892,0.7834,0.99956,1,0.995,0.99291,0.14744,0.19911,0.75196,0.00018575,0.00018575,0.00018575
45,4290.83,0.19637,0.23955,0.78938,0.99946,1,0.995,0.99095,0.14816,0.19075,0.7519,0.000161,0.000161,0.000161
46,4372.19,0.18752,0.23379,0.78682,0.9996,1,0.995,0.99213,0.14559,0.18966,0.75185,0.00013625,0.00013625,0.00013625
47,4454.34,0.17997,0.23347,0.79042,0.99953,1,0.995,0.99254,0.13698,0.17699,0.7506,0.0001115,0.0001115,0.0001115
48,4538.34,0.176,0.22748,0.78582,0.99953,1,0.995,0.99207,0.13519,0.17916,0.75071,8.675e-05,8.675e-05,8.675e-05
